KM/Year,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,AutoType,MetColorType,Ratio,,
0.013157895,6950,76,1,Petrol,110,0,0,1600,5,1114,Manual,NonMetcolor,,,
0.02,7500,50,1,Diesel,90,1,0,2000,3,1260,Manual,Metcolor,,,
1,17795,1,1,Petrol,98,1,0,1400,4,1100,Manual,Metcolor,,,
1,18245,1,1,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
7.5,21500,2,15,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
112.5,21125,2,225,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
0.25,32500,4,1,Diesel,116,0,0,2000,5,1480,Manual,NonMetcolor,,,
375,31275,4,1500,Diesel,116,1,0,2000,5,1480,Manual,Metcolor,,,
1000,31000,4,4000,Diesel,116,1,0,2000,5,1480,Manual,Metcolor,,,
500,22500,6,3000,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor,,,
0.142857143,17900,7,1,Petrol,110,1,0,1600,3,1105,Manual,Metcolor,,,
64.28571429,18700,7,450,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
285.7142857,18500,7,2000,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor,,,
892.8571429,19950,7,6250,Petrol,110,1,0,1600,5,1115,Manual,Metcolor,,,
1428.571429,22950,7,10000,Diesel,116,1,0,2000,5,1270,Manual,Metcolor,,,
625,21950,8,5000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
750,24990,8,6000,Diesel,90,1,0,2000,5,1280,Manual,Metcolor,,,
875,18950,8,7000,Petrol,110,0,0,1600,5,1115,Manual,NonMetcolor,,,
1071.75,19950,8,8574,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1223.5,21950,8,9788,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1250,18950,8,10000,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1259.625,19500,8,10077,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1355.125,21950,8,10841,Diesel,90,1,0,2000,5,1270,Manual,Metcolor,,,
1375,23750,8,11000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1656.625,24950,8,13253,Diesel,116,1,0,2000,5,1320,Manual,Metcolor,,,
1656.625,24950,8,13253,Diesel,116,1,0,2000,5,1320,Manual,Metcolor,,,
0.111111111,17795,9,1,Petrol,98,1,0,1400,4,1065,Manual,Metcolor,,,
0.111111111,18245,9,1,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
850,19600,9,7650,Petrol,110,1,0,1600,5,1115,Manual,Metcolor,,,
1374.7,18450,10,13747,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
559.5454545,17650,11,6155,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1136.363636,18900,11,12500,Petrol,110,1,0,1600,5,1115,Manual,Metcolor,,,
1330.454545,19450,11,14635,Petrol,110,1,1,1600,3,1155,Auto,Metcolor,,,
1465.727273,18500,11,16123,Petrol,110,1,0,1600,3,1105,Manual,Metcolor,,,
2227.272727,18750,11,24500,Petrol,110,1,0,1600,3,1120,Manual,Metcolor,,,
2272.727273,23000,11,25000,Diesel,116,1,0,2000,5,1320,Manual,Metcolor,,,
416.6666667,20500,12,5000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1136.166667,19500,12,13634,Petrol,110,1,0,1600,5,1115,Manual,Metcolor,,,
1013.692308,21750,13,13178,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1384.615385,18500,13,18000,Petrol,71,0,0,1400,3,1125,Manual,NonMetcolor,,,
1537.538462,24500,13,19988,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1648.307692,19950,13,21428,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1936.153846,16250,13,25170,Petrol,110,1,0,1600,5,1105,Manual,Metcolor,,,
2259.307692,15950,13,29371,Petrol,110,1,0,1600,4,1105,Manual,Metcolor,,,
2575.153846,15850,13,33477,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
4387.461538,18950,13,57037,Petrol,110,0,0,1600,5,1115,Manual,NonMetcolor,,,
377,20950,14,5278,Petrol,110,1,1,1600,4,1150,Auto,Metcolor,,,
389.9285714,19950,14,5459,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
428.5714286,19950,14,6000,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor,,,
464.2857143,19500,14,6500,Petrol,110,1,0,1600,4,1100,Manual,Metcolor,,,
821.4285714,18800,14,11500,Petrol,110,1,0,1600,3,1045,Manual,Metcolor,,,
1278.285714,20950,14,17896,Petrol,110,1,1,1600,4,1150,Auto,Metcolor,,,
2857.857143,16350,14,40010,Petrol,110,1,0,1600,5,1115,Manual,Metcolor,,,
